time,Q,s,T
2008-02-08,-0.6512875,0.0,0.0
2008-02-09,-0.6796043,0.0,0.0
2008-02-10,-0.6796043,0.0,0.0
2008-02-11,-0.7645549,0.0,0.0
2008-02-12,-0.6229706,0.0,0.0
2008-02-13,-0.736238,0.0,0.0
2008-02-14,-0.6229706,0.0,0.0
2008-02-15,-0.7645549,0.0,0.0
2008-02-16,-0.736238,0.0,0.0
2008-02-17,-0.6512875,0.0,0.0
2008-02-18,-0.6512875,0.0,0.0
2008-02-19,-0.6229706,0.0,0.0
2008-02-20,-0.5663369,0.0,0.0
2008-02-21,-0.7645549,0.0,0.0
2008-02-22,-0.8211886,0.0,0.0
2008-02-23,-0.7928717,0.0,0.0
2008-02-24,-0.6796043,0.0,0.0
2008-02-25,-0.8211886,0.0,0.0
2008-02-26,-0.8211886,0.0,0.0
2008-02-27,-0.6229706,0.0,0.0
2008-02-28,-0.6796043,0.0,0.0
2008-02-29,-0.6229706,0.0,0.0
2008-03-01,-0.5097032,0.0,0.0
2008-03-02,-0.4530695,0.0,0.0
2008-03-03,-0.7079212,0.0,0.0
2008-03-04,-0.8211886,0.0,0.0
2008-03-05,-0.8495054,0.0,0.0
2008-03-06,-0.7645549,0.0,0.0
2008-03-07,-0.7645549,0.0,0.0
2008-03-08,-0.7928717,0.0,0.0
2008-03-09,-0.7645549,0.0,0.0
2008-03-10,-0.7928717,0.0,0.0
2008-03-11,-0.736238,0.0,0.0
2008-03-12,-0.8211886,0.0,0.0
2008-03-13,-0.8495054,0.0,0.0
2008-03-14,-0.736238,0.0,0.0
2008-03-15,-0.8778222,0.0,0.0
2008-03-16,-1.019406,0.0,0.0
2008-03-17,-0.3114853,0.0,0.0
2008-03-18,0.0,0.0,0.0
2008-03-19,0.0,0.0,0.0
2008-03-20,0.0,0.0,0.0
2008-03-21,0.0,0.0,0.0
2008-03-22,0.0,0.0,0.0
2008-03-23,0.0,0.0,0.0
2008-03-24,0.0,0.0,0.0
2008-03-25,-0.1415842,0.0,0.0
2008-03-26,0.0,0.0,0.0
2008-03-27,0.0,0.0,0.0
2008-03-28,0.0,0.0,0.0
2008-03-29,-0.2548516,0.0,0.0
2008-03-30,-0.3114853,0.0,0.0
2008-03-31,-0.1132674,0.0,0.0
2008-04-01,-0.1982179,0.0,0.0
2008-04-02,-0.1699011,0.0,0.0
2008-04-03,-0.3964359,0.0,0.0
2008-04-04,-1.047723,0.0,0.0
2008-04-05,-1.302575,0.0,0.0
2008-04-06,-1.585743,0.0,0.0
2008-04-07,-1.52911,0.0,0.0
2008-04-08,-1.557427,0.0,0.0
2008-04-09,-1.52911,0.0,0.0
2008-04-10,-1.755644,0.0,0.0
2008-04-11,-1.925546,0.0,0.0
2008-04-12,-2.180397,0.0,0.0
2008-04-13,-2.095447,0.0,0.0
2008-04-14,-2.321981,0.0,0.0
