Time,Stage
2014-04-13 12:21,0.998000057
2014-04-13 12:36,1.0650000370000001
2014-04-13 12:51,1.123999924
2014-04-13 13:06,1.172999986
2014-04-13 13:21,1.2139999540000002
2014-04-13 13:36,1.254999995
2014-04-13 13:51,1.302999972
2014-04-13 14:06,1.335000054
2014-04-13 14:21,1.3690000130000002
2014-04-13 14:36,1.40600008
2014-04-13 14:51,1.4380000169999998
2014-04-13 15:06,1.4640000290000001
2014-04-13 15:21,1.491999918
2014-04-13 15:36,1.5120000059999998
2014-04-13 15:51,1.524999939
2014-04-13 16:06,1.53499991
2014-04-13 16:21,1.5380000180000002
2014-04-13 16:36,1.528000047
2014-04-13 16:51,1.5079999590000002
2014-04-13 17:06,1.476000023
2014-04-13 17:21,1.4320000919999998
2014-04-13 17:36,1.3769999609999999
2014-04-13 17:51,1.3229999140000002
2014-04-13 18:06,1.271999975
2014-04-13 18:21,1.223000059
2014-04-13 18:36,1.1739999970000001
2014-04-13 18:51,1.123999924
2014-04-13 19:06,1.073999997
2014-04-13 19:21,1.031000005
2014-04-13 19:36,0.989000025
2014-04-13 19:51,0.940999975
2014-04-13 20:06,0.90200003
2014-04-13 20:21,0.862000001
2014-04-13 20:36,0.823999995
2014-04-13 20:51,0.788999951
2014-04-13 21:06,0.753000041
2014-04-13 21:21,0.7210000320000001
2014-04-13 21:36,0.688000011
2014-04-13 21:51,0.6609999879999999
2014-04-13 22:06,0.647999982
2014-04-13 22:21,0.647999982
2014-04-13 22:36,0.661999999
2014-04-13 22:51,0.698999994
2014-04-13 23:06,0.763000012
2014-04-13 23:21,0.8450000209999999
2014-04-13 23:36,0.927999969
2014-04-13 23:51,1.001999958
2014-04-14 00:06,1.0709999620000001
2014-04-14 00:21,1.133999968
2014-04-14 00:36,1.190999977
2014-04-14 00:51,1.241999916
2014-04-14 01:06,1.294000085
2014-04-14 01:21,1.342000063
2014-04-14 01:36,1.39000004
2014-04-14 01:51,1.434999909
2014-04-14 02:06,1.476000023
2014-04-14 02:21,1.5180000759999999
2014-04-14 02:36,1.55799996
2014-04-14 02:51,1.593999942
2014-04-14 03:06,1.6280000469999998
2014-04-14 03:21,1.661000068
2014-04-14 03:36,1.68700008
2014-04-14 03:51,1.709000045
2014-04-14 04:06,1.7250000859999999
2014-04-14 04:21,1.731999949
2014-04-14 04:36,1.725999879
2014-04-14 04:51,1.7120000069999999
2014-04-14 05:06,1.6830000330000001
2014-04-14 05:21,1.635999995
2014-04-14 05:36,1.5819999480000002
2014-04-14 05:51,1.528000047
2014-04-14 06:06,1.476000023
2014-04-14 06:21,1.422999915
2014-04-14 06:36,1.371999976
2014-04-14 06:51,1.319000013
2014-04-14 07:06,1.2690000129999999
2014-04-14 07:21,1.220000097
2014-04-14 07:36,1.168
2014-04-14 07:51,1.123000058
2014-04-14 08:06,1.075000081
2014-04-14 08:21,1.026000019
2014-04-14 08:36,0.981000005
2014-04-14 08:51,0.934999978
2014-04-14 09:06,0.891999986
2014-04-14 09:21,0.848999995
2014-04-14 09:36,0.809000038
2014-04-14 09:51,0.771000032
2014-04-14 10:06,0.7299999909999999
2014-04-14 10:21,0.694000008
2014-04-14 10:36,0.661999999
2014-04-14 10:51,0.638000011
2014-04-14 11:06,0.620000019
2014-04-14 11:21,0.611999999
2014-04-14 11:36,0.623000054
2014-04-14 11:51,0.652000028
2014-04-14 12:06,0.706000002
2014-04-14 12:21,0.788999951
2014-04-14 12:36,0.873999995
2014-04-14 12:51,0.947000045
2014-04-14 13:06,1.0119999290000001
2014-04-14 13:21,1.075000081
2014-04-14 13:36,1.129999994
2014-04-14 13:51,1.179000056
2014-04-14 14:06,1.223000059
2014-04-14 14:21,1.264000027
2014-04-14 14:36,1.307000019
2014-04-14 14:51,1.345999964
2014-04-14 15:06,1.3799999230000002
2014-04-14 15:21,1.41699999
2014-04-14 15:36,1.447999988
2014-04-14 15:51,1.4769999619999998
2014-04-14 16:06,1.5039999130000001
2014-04-14 16:21,1.5289999859999999
2014-04-14 16:36,1.547999989
2014-04-14 16:51,1.560999922
2014-04-14 17:06,1.5660000530000002
2014-04-14 17:21,1.5620000059999999
2014-04-14 17:36,1.54700005
2014-04-14 17:51,1.519000014
2014-04-14 18:06,1.4750000840000002
2014-04-14 18:21,1.41699999
2014-04-14 18:36,1.3640000280000002
2014-04-14 18:51,1.307999958
2014-04-14 19:06,1.257000018
2014-04-14 19:21,1.2039999829999999
2014-04-14 19:36,1.1529999709999998
2014-04-14 19:51,1.1049999940000002
2014-04-14 20:06,1.0549999209999998
2014-04-14 20:21,1.009999979
2014-04-14 20:36,0.963999952
2014-04-14 20:51,0.923999995
2014-04-14 21:06,0.884999978
2014-04-14 21:21,0.846999972
2014-04-14 21:36,0.807000015
2014-04-14 21:51,0.776000018
2014-04-14 22:06,0.74500002
2014-04-14 22:21,0.72000002
2014-04-14 22:36,0.698999994
